full_name,Semi-Major Axis (AU),Eccentricity,Inclination (deg),Perihelion Dist. (AU),Aphelion Dist. (AU),Period (Years),Diamter (km),Rotational Period (h)
 15457 (1998 YN6),3.212813509,0.07357940372,22.96404741,2.976416607,3.449210411,5.758859434,24.74,
 15514 (1999 VW24),3.15505999,0.07319145352,19.59129107,2.924136563,3.385983416,5.604277533,24.69,
 15562 (2000 GF48),3.1453243,0.1990705,11.58371,2.519183,3.7714656,5.57835761,23.36,
 15707 (1988 RN4),2.586829882,0.2569781442,11.1957107,1.92207114,3.251588624,4.160638715,11.44,
 15712 (1989 RN2),3.186564,0.2046315,11.11653,2.5344926,3.8386354,5.688426936,16.99,
 15732 Vitusbering (1990 VZ5),3.1695316,0.0536376,10.40074,2.9995255,3.3395377,5.64288037,19.88,
 15789 (1993 SC),39.67504119,0.1850060982,5.159498081,32.33491663,47.01516576,249.9103725,328,
 15811 Nusslein-Volhard (1994 ND1),3.1993282,0.1693626,9.6273,2.6574817,3.7411747,5.72263951,16.17,
 15923 (1997 VN3),2.585275499,0.1903996014,18.11399705,2.093040075,3.077510923,4.156889191,13.57,
 15951 (1998 BB2),3.124219,0.1315639,17.73813,2.7131846,3.5352534,5.522305228,19.82,
 15958 (1998 BE33),2.698355287,0.2828297276,10.29456806,1.935180196,3.461530377,4.432583238,9.19,
 15967 Clairearmstrong (1998 DN20),2.639470208,0.2862679954,12.22034152,1.883874363,3.395066053,4.288282117,12.16,5.897
 16015 Snell (1999 CK47),3.1353089,0.1412934,1.95224,2.6923104,3.5783074,5.551734741,15.65,
 16035 Sasandford (1999 FX32),2.784986381,0.09190531206,9.537294249,2.529031338,3.040941423,4.647750603,23.18,
 16037 Sheehan (1999 GX8),3.2213848,0.0544967,15.27298,3.04583,3.3969396,5.781920432,15.81,
 16070 (1999 RB101),5.129286026,0.1247403114,16.2502027,4.48945729,5.769114762,11.61698901,64.13,31.74
 16216 (2000 DR4),2.670187016,0.09907274633,9.391460015,2.405644255,2.934729777,4.363356743,15.25,
 16257 (2000 JY6),2.774103452,0.1134810154,19.95144901,2.459295375,3.088911528,4.620534117,23.28,
 16392 (1981 EP42),2.656667,0.1007858711,3.309245693,2.388912502,2.924421498,4.33025911,12.3,
 16415 (1987 QE7),2.6235558,0.1856486,11.83428,2.1364963,3.1106153,4.249557048,7.75,
 16560 Daitor (1991 VZ5),5.06305,0.0394192,15.30528,4.8634686,5.2626314,11.39269672,51.42,
 16593 (1992 UB3),2.654384305,0.1213458524,13.17304438,2.332285779,2.976482832,4.32467926,13.77,
